;c;s;cr
728;1;1;1
729;1;1;1
730;2;1;1
731;2;1;1
732;1;2;2
733;2;2;1
734;2;1;1
735;2;1;2
736;1;2;2
737;2;1;2
738;2;1;1
739;1;1;1
740;1;2;2
741;1;2;2
742;1;2;1
743;1;1;2
744;2;2;2
745;1;1;1
746;2;1;2
747;1;1;2
748;1;2;1
749;1;1;2
750;1;1;2
751;2;2;2
752;1;2;1
753;2;2;2
754;1;1;1
755;2;2;2
756;2;1;2
757;1;1;2
758;1;1;2
759;2;2;2
760;1;1;1
761;1;2;1
762;2;2;1
763;1;1;1
764;1;1;1
765;2;1;1
766;1;2;2
767;2;2;2
768;2;2;1
769;1;1;2
770;1;2;2
771;2;2;1
772;2;2;1
773;2;1;1
774;1;1;1
775;2;1;2
776;1;1;1
777;1;2;2
778;2;2;2
779;1;2;2
780;1;2;1
781;1;1;1
782;1;1;1
783;1;1;2
784;1;1;2
785;1;1;2
786;2;1;1
787;2;1;2
788;2;1;1
789;2;2;1
790;2;1;2
791;1;1;1
792;2;1;2
793;2;2;1
794;2;2;1
795;1;1;1
796;2;2;1
797;2;2;2
798;2;1;2
799;2;2;1
800;2;1;1
801;1;2;2
802;2;2;1
803;2;1;1
804;1;1;2
805;2;2;2
806;2;1;1
807;2;2;1
808;2;2;2
809;1;2;1
810;1;1;2
811;2;1;1
812;2;1;2
813;2;1;1
814;1;1;1
815;1;1;2
816;1;1;2
817;2;1;1
818;1;2;1
819;1;2;2
820;1;1;2
821;2;2;1
822;2;2;1
823;1;1;1
824;2;2;2
825;2;1;1
826;1;1;2
827;1;1;1
828;2;1;1
829;1;2;1
830;1;2;2
831;2;2;2
832;1;2;1
833;1;2;2
834;1;1;1
835;1;2;1
836;1;2;1
837;2;1;2
838;1;2;1
839;2;2;2
840;1;1;2
841;2;2;1
842;1;1;2
843;1;1;2
844;2;1;2
845;1;1;1
846;2;1;1
847;2;1;2
848;2;1;2
849;1;1;2
850;2;1;1
851;1;1;2
852;1;2;2
853;2;1;1
854;2;1;1
855;2;2;1
856;2;1;2
857;1;1;1
858;2;2;2
859;1;1;2
860;2;1;1
861;1;1;2
862;2;1;1
863;1;1;1
864;1;2;2
865;2;2;2
866;2;1;1
867;1;2;1
868;2;1;2
869;2;2;2
870;1;2;1
871;1;1;1
872;1;1;2
873;2;2;1
874;2;2;1
875;1;1;2
876;1;2;1
877;1;2;1
878;1;1;1
879;1;2;1
880;2;2;2
881;1;2;2
882;1;2;1
883;2;2;1
884;1;2;1
885;1;1;2
886;2;1;2
887;1;2;2
888;2;1;2
889;2;2;1
890;2;1;1
891;1;1;1
892;1;2;1
893;1;2;1
894;2;2;1
895;2;2;1
896;2;1;1
897;1;1;2
898;1;1;1
899;2;2;1
900;2;2;1
901;2;1;1
902;2;1;2
903;1;1;2
904;1;1;1
905;1;1;2
906;1;1;1
907;1;1;1
908;2;2;2
909;2;1;2
910;1;1;2
911;2;1;2
912;2;1;1
913;1;1;2
914;2;2;1
915;2;2;1
916;2;1;2
917;1;1;1
918;1;1;1
919;2;2;1
920;1;2;2
921;2;1;1
922;1;2;1
923;2;1;2
924;1;1;1
925;1;2;2
926;2;2;2
927;1;2;2
928;1;2;2
929;2;1;2
930;2;1;2
931;1;1;2
932;1;1;2
933;1;1;1
934;1;1;1
935;2;2;1
936;2;1;2
937;2;2;1
938;2;1;2
939;2;2;1
940;1;2;2
941;2;2;2
942;2;1;1
943;2;1;1
944;2;1;1
945;2;2;1
946;1;1;2
947;1;1;1
948;2;1;1
949;1;1;1
950;1;2;2
951;1;1;2
952;2;2;2
953;1;1;2
954;1;1;2
955;2;1;1
956;1;2;2
957;1;2;1
958;1;1;2
959;2;1;2
960;1;2;1
961;2;2;2
962;2;2;2
963;2;1;1
964;1;1;1
965;1;1;2
966;1;1;2
967;1;2;1
968;1;1;1
969;2;2;2
970;2;1;2
971;1;2;2
972;2;2;1
973;1;2;2
974;2;1;1
975;1;1;1
976;1;2;2
977;2;1;2
978;1;2;2
979;2;2;1
980;1;2;2
981;1;1;1
982;2;2;2
983;2;2;1
984;2;2;1
985;2;1;1
986;2;2;2
987;2;1;2
988;1;1;1
989;2;2;2
990;1;2;2
991;2;1;2
992;1;1;1
993;2;1;2
994;1;2;1
995;1;2;1
996;1;1;1
997;2;1;2
998;2;1;2
999;1;1;1
1000;1;1;2
1001;1;1;1
1002;1;2;1
1003;1;2;1
1004;1;1;1
1005;1;1;2
1006;1;1;1
1007;2;1;2
1008;1;1;1
1009;1;1;1
1010;2;1;1
1011;1;2;1
1012;1;2;2
1013;1;1;2
1014;1;1;1
1015;2;2;2
1016;1;1;2
1017;2;2;1
1018;1;1;1
1019;2;1;1
1020;1;1;1
1021;2;1;1
1022;2;2;2
1023;2;1;2
1024;2;2;1
1025;1;2;1
1026;2;2;1
1027;1;1;1
1028;1;2;1
1029;2;2;2
1030;2;1;2
1031;2;2;2
1032;2;2;2
1033;2;2;2
1034;1;2;2
1035;1;2;1
1036;2;1;1
1037;1;2;1
1038;2;1;2
1039;1;2;1
1040;1;1;2
1041;2;1;1
1042;2;2;1
1043;1;2;1
1044;1;2;1
1045;2;1;2
1046;1;1;1
1047;2;2;1
1048;1;2;1
1049;1;1;2
1050;1;2;2
1051;1;2;1
1052;2;2;1
1053;2;2;1
1054;1;2;1
1055;1;2;1
1056;1;2;1
1057;2;1;1
1058;2;2;1
1059;2;2;1
1060;1;1;2
1061;2;1;2
1062;1;1;1
1063;1;2;1
1064;2;2;2
1065;1;1;1
1066;1;1;2
1067;2;1;1
1068;2;2;2
1069;2;2;1
1070;2;2;1
1071;1;1;1
1072;2;2;2
1073;2;1;2
1074;2;1;2
1075;1;2;2
1076;1;1;2
1077;1;2;1
1078;2;1;2
1079;1;2;2
1080;1;1;2
1081;2;2;2
1082;2;2;1
1083;1;2;1
1084;2;2;2
1085;2;2;1
1086;1;2;2
1087;2;2;1
1088;1;1;1
1089;1;2;2
1090;1;2;2
1091;1;1;2
1092;1;2;1
1093;1;1;2
1094;1;2;1
1095;1;2;1
1096;1;2;2
1097;1;2;1
1098;1;1;1
1099;2;2;1
1100;1;2;2
1101;2;2;2
1102;2;1;1
1103;1;1;2
1104;1;1;2
1105;2;2;1
1106;1;2;2
1107;2;2;1
1108;2;1;2
1109;2;2;1
1110;1;2;1
1111;2;1;1
1112;1;2;2
1113;1;2;1
1114;1;1;1
1115;1;2;1
1116;1;1;2
1117;2;1;1
1118;1;1;2
1119;2;1;1
1120;2;1;2
1121;1;1;2
1122;2;2;1
1123;1;1;2
1124;2;2;2
1125;2;2;2
1126;2;1;2
1127;2;2;1
1128;1;2;2
1129;1;2;2
1130;2;1;1
1131;2;2;2
1132;1;1;1
1133;1;1;2
1134;1;1;1
1135;2;2;1
1136;2;1;2
1137;1;1;1
1138;2;2;2
1139;2;2;1
1140;1;1;1
1141;1;2;2
1142;1;2;1
1143;2;2;1
1144;2;2;2
1145;2;1;2
1146;2;2;1
1147;2;1;1
1148;1;2;2
1149;2;2;1
1150;1;2;2
1151;2;2;1
1152;2;2;2
1153;2;2;2
1154;2;2;1
1155;2;1;2
1156;2;1;1
1157;2;1;1
1158;1;1;2
1159;1;2;2
1160;1;2;2
1161;2;1;2
1162;2;1;1
1163;2;2;2
1164;2;2;1
1165;2;2;1
1166;2;1;2
1167;1;1;2
1168;1;1;1
1169;2;1;1
1170;2;2;2
1171;2;2;1
1172;1;2;2
1173;2;2;2
1174;1;1;2
1175;2;2;2
1176;2;1;2
1177;2;2;1
1178;1;1;2
1179;2;2;2
1180;2;2;1
1181;1;2;2
1182;2;1;2
1183;1;2;2
1184;1;1;1
1185;2;1;1
1186;2;2;1
1187;1;2;1
1188;1;2;1
1189;1;1;1
1190;2;1;2
1191;2;2;1
1192;1;2;1
1193;2;1;1
1194;1;2;2
1195;1;1;2
1196;1;2;1
1197;2;2;1
1198;2;1;2
1199;1;1;2
1200;2;1;1
1201;2;1;1
1202;1;1;1
1203;1;1;1
1204;2;2;2
1205;2;1;2
1206;2;1;2
1207;2;2;1
1208;1;2;2
1209;2;1;2
1210;1;1;1
1211;1;2;1
1212;2;2;1
1213;1;2;2
1214;1;1;1
1215;2;2;2
1216;2;1;1
1217;2;1;1
1218;1;2;2
1219;2;2;2
1220;1;1;2
1221;2;1;2
1222;2;2;2
1223;2;1;1
1224;1;1;1
1225;1;2;2
1226;1;1;2
1227;1;1;1
1228;1;2;2
1229;2;2;2
1230;1;2;2
1231;2;2;2
1232;1;2;1
1233;1;1;1
1234;1;2;2
1235;2;1;1
1236;2;1;2
1237;1;2;1
1238;2;1;2
1239;2;2;2
1240;1;2;1
1241;1;2;1
1242;1;1;1
1243;2;2;2
1244;2;1;1
1245;1;2;1
1246;1;2;2
1247;1;1;2
1248;1;1;2
1249;1;2;2
1250;1;2;1
1251;2;2;2
1252;2;1;2
1253;2;2;2
1254;1;2;1
1255;2;2;2
1256;1;1;1
1257;2;2;1
1258;2;2;1
1259;1;2;2
1260;2;1;1
1261;1;2;1
1262;2;1;2
1263;1;1;2
1264;1;1;2
1265;2;2;1
1266;2;2;2
1267;2;2;1
1268;1;1;1
1269;2;2;1
1270;2;1;1
1271;1;2;2
1272;1;1;2
1273;1;1;1
1274;2;1;2
1275;1;1;2
1276;2;2;1
1277;2;1;1
1278;1;2;1
1279;2;2;1
1280;2;1;1
1281;2;2;2
1282;1;2;2
1283;2;1;1
1284;2;2;1
1285;1;2;1
1286;1;2;1
1287;1;2;2
1288;2;1;1
1289;2;1;1
1290;1;1;1
1291;2;1;2
1292;1;1;2
1293;2;2;1
1294;1;1;2
1295;2;2;1
1296;1;1;1
1297;1;1;2
1298;1;2;2
1299;1;2;2
1300;1;2;1
1301;2;2;2
1302;1;1;2
1303;2;1;2
1304;2;2;1
1305;2;2;1
1306;2;1;2
1307;2;1;2
1308;2;2;2
1309;2;2;2
1310;1;2;2
1311;2;2;1
1312;1;2;2
1313;2;1;2
1314;2;2;2
1315;1;2;1
1316;1;1;1
1317;1;1;2
1318;2;2;2
1319;2;2;2
1320;2;1;2
1321;2;2;1
1322;2;1;1
1323;2;1;1
1324;2;2;1
1325;1;1;2
1326;1;1;1
1327;1;2;2
1328;1;2;2
1329;1;2;1
1330;1;1;1
1331;1;1;1
1332;1;2;1
1333;1;1;1
1334;2;2;2
1335;2;1;1
1336;1;1;2
1337;2;1;2
1338;2;2;2
1339;2;2;2
1340;2;2;1
1341;2;2;1
1342;1;1;1
1343;2;1;2
1344;1;1;2
1345;1;2;1
1346;1;2;2
1347;2;2;1
1348;1;2;2
1349;2;2;2
1350;2;1;2
1351;2;1;1
1352;2;1;2
1353;2;1;1
1354;2;1;2
1355;2;1;1
1356;1;2;2
1357;2;1;2
1358;2;1;1
1359;1;1;1
1360;1;2;1
1361;1;1;1
1362;1;2;2
1363;1;1;2
1364;2;2;1
1365;1;1;1
1366;1;2;2
1367;1;1;1
1368;1;2;1
1369;1;1;2
1370;1;2;1
1371;1;1;1
1372;1;2;2
1373;1;1;2
1374;2;2;1
1375;1;1;2
1376;2;2;2
1377;2;2;2
1378;2;2;1
1379;1;1;2
1380;2;2;1
1381;1;1;1
1382;2;2;1
1383;1;2;2
1384;1;2;2
1385;1;1;2
1386;1;2;1
1387;1;2;1
1388;2;2;2
1389;2;2;1
1390;1;1;2
1391;2;1;1
1392;2;1;2
1393;1;2;2
1394;2;2;1
1395;2;2;1
1396;1;2;2
1397;2;1;1
1398;1;1;1
1399;1;2;2
1400;1;1;1
1401;2;1;2
1402;2;1;1
1403;2;2;1
1404;1;2;1
1405;1;2;1
1406;1;2;1
1407;2;2;2
1408;2;1;2
1409;1;1;2
1410;2;1;1
1411;1;2;2
1412;2;1;1
1413;1;2;2
1414;2;2;1
1415;1;2;2
1416;1;1;2
1417;2;2;2
1418;1;2;2
1419;2;2;2
1420;1;1;2
1421;2;1;2
1422;1;1;2
1423;1;1;2
1424;2;2;1
1425;1;2;1
1426;1;1;1
1427;2;1;2
1428;2;2;1
1429;2;2;1
1430;2;1;2
1431;1;1;1
1432;2;2;2
1433;2;1;2
1434;2;1;1
1435;1;2;2
1436;1;2;1
1437;2;1;1
1438;2;2;1
1439;1;1;1
1440;1;1;1
1441;2;2;1
1442;1;1;1
1443;1;2;2
1444;1;1;2
1445;2;1;1
1446;1;2;2
1447;1;2;2
1448;1;1;1
1449;1;2;1
1450;1;1;1
1451;2;1;2
1452;2;1;1
1453;1;1;2
1454;2;2;2
1455;1;1;2
1456;2;2;1
1457;2;1;2
1458;1;2;2
1459;2;1;2
1460;1;1;2
1461;1;2;1
1462;2;2;2
1463;2;2;1
1464;2;2;2
1465;1;2;1
1466;2;1;2
1467;1;1;1
1468;1;1;1
1469;1;2;1
1470;2;2;2
1471;1;2;1
1472;2;2;2
1473;1;2;2
1474;2;1;2
1475;1;1;1
1476;1;2;1
1477;2;2;2
1478;2;2;2
1479;2;2;2
1480;2;1;2
1481;2;1;2
1482;1;2;1
1483;2;2;1
1484;1;1;2
1485;2;2;1
1486;1;2;2
1487;1;2;2
1488;2;2;2
1489;2;1;1
1490;1;1;2
1491;1;1;2
1492;1;2;2
1493;2;2;2
1494;1;1;1
1495;2;2;1
1496;1;1;2
1497;1;2;1
1498;2;2;2
1499;1;2;2
1500;2;2;2
1501;2;2;2
1502;2;2;1
1503;2;1;2
1504;1;1;1
1505;1;2;2
1506;2;1;2
1507;1;2;2
1508;2;2;2
1509;2;1;1
1510;1;2;2
1511;1;2;1
1512;1;2;2
1513;2;1;1
1514;1;1;1
1515;1;2;2
1516;1;2;2
1517;1;1;1
1518;2;1;2
1519;2;1;1
1520;1;1;1
1521;1;2;1
1522;1;2;2
1523;2;1;1
1524;2;2;2
1525;2;2;2
1526;1;1;2
1527;2;1;2
1528;1;1;1
1529;2;1;2
1530;1;2;2
1531;1;2;2
1532;2;2;2
1533;2;1;1
1534;2;1;1
1535;2;2;2
1536;2;2;1
1537;2;2;2
1538;1;2;2
1539;1;1;2
1540;2;1;2
1541;1;1;1
1542;1;1;1
1543;2;1;1
1544;2;1;1
1545;2;1;1
1546;2;1;1
1547;1;2;1
1548;1;2;2
1549;1;2;1
1550;1;1;2
1551;1;1;2
1552;2;1;1
1553;2;2;1
1554;2;1;1
1555;1;2;2
1556;1;2;2
1557;1;1;1
1558;2;2;2
1559;1;2;2
1560;2;2;1
1561;1;1;2
1562;1;1;1
1563;1;1;1
1564;1;1;1
1565;1;1;2
1566;2;2;1
1567;2;1;2
1568;1;2;2
1569;2;1;2
1570;2;1;1
1571;2;2;1
1572;2;1;1
1573;2;2;1
1574;2;2;2
1575;1;2;2
1576;2;2;1
1577;2;2;1
1578;1;2;1
1579;1;2;1
1580;1;2;1
1581;2;2;2
1582;1;1;2
1583;2;2;1
1584;2;1;1
1585;2;2;2
1586;1;1;1
1587;1;1;2
1588;2;2;1
1589;2;2;2
1590;1;2;1
1591;1;1;2
1592;1;2;2
1593;1;1;2
1594;1;2;2
1595;1;2;1
1596;2;1;1
1597;1;2;1
1598;2;2;2
1599;2;1;2
1600;2;2;2
1601;2;2;2
1602;1;2;1
1603;2;2;1
1604;1;2;1
1605;1;2;2
1606;1;2;2
1607;2;2;2
1608;2;1;2
1609;2;2;2
1610;1;2;1
1611;2;1;2
1612;2;2;2
1613;1;2;1
1614;1;2;2
1615;2;1;1
1616;2;1;1
1617;2;1;2
1618;2;2;2
1619;1;2;1
1620;2;2;2
1621;2;2;2
1622;1;2;2
1623;2;1;2
1624;1;1;2
1625;2;2;1
1626;1;2;1
1627;1;1;1
1628;1;2;2
1629;2;1;2
1630;2;1;2
1631;2;2;2
1632;2;2;2
1633;2;2;2
1634;2;2;1
1635;2;1;1
1636;2;1;1
1637;2;2;2
1638;2;1;1
1639;2;1;1
1640;1;1;2
1641;1;2;2
1642;1;2;2
1643;2;1;1
1644;1;2;1
1645;1;2;1
1646;2;2;1
1647;1;2;2
1648;1;1;1
1649;2;2;1
1650;1;1;2
1651;1;1;2
1652;2;2;2
1653;1;1;1
1654;1;2;1
1655;1;1;2
1656;2;2;1
1657;2;1;1
1658;2;2;1
1659;1;2;2
1660;2;2;2
1661;1;2;1
1662;2;2;1
1663;1;2;2
